,Bad_ID
1787,362677
1788,372542
1789,362591
1790,24001F
1791,052606
1792,332644
1793,142618
1794,552609
1795,682519
1796,672618
1797,672590
1798,552629
1799,551664
1800,225423
1801,332415
1802,062303
1803,492668
1804,162515
1805,112844
1806,232712
1807,682599
1808,182584
1809,442728
1810,362886
1811,A01697
1812,142516
1813,192743
1814,252585
1815,682644
1816,452557
1817,672875
1818,672890
1819,A11570
1820,A11751
1821,A11644
1822,052618
1823,342633
1824,332610
1825,152596
1826,442532
1827,322522
1828,212622
1829,17E630
1830,132516
1831,152605
1832,042515
1833,172544
1834,172527
1835,232548
1836,232618
1837,252515
1838,152623
1839,672608
1840,342667
1841,672601
1842,242573
1843,182605
1844,552698
1845,11A186
1846,232678
1847,232688
1848,442711
1849,312597
1850,102791
1851,262657
1852,312625
1853,442735
1854,A01575
1855,312655
1856,25089E
1857,452541
1858,A11656
1859,742540
1860,382576
1861,382579
1862,212727
1863,742513
1864,462550
1865,A11619
1866,332801
1867,A11720
1868,492522
1869,252587
1870,422590
1871,232561
1872,442536
1873,392575
1874,012520
1875,012552
1876,052543
1877,112656
1878,332530
1879,332585
1880,332606
1881,332626
1882,332748
1883,332765
1884,332780
1885,232594
1886,192630
1887,333567
1888,14034F
1889,332354
1890,392321
1891,142751
1892,552716
1893,492664
1894,552719
1895,312609
1896,232714
1897,072548
1898,522600
1899,192606
1900,742535
1901,A11603
1902,291578
1903,A11725
1904,14E847
1905,23012F
1906,242531
1907,342631
1908,102645
1909,112545
1910,332664
1911,332617
1912,102529
1913,522323
1914,492507
1915,092519
1916,552545
1917,392733
1918,292525
1919,122512
1920,392551
1921,392649
1922,392835
1923,392846
1924,392850
1925,392851
1926,392866
1927,392870
1928,392872
1929,392878
1930,392882
1931,422573
1932,422652
1933,422676
1934,192640
1935,192512
1936,362862
1937,142612
1938,232509
1939,552604
1940,392512
1941,672734
1942,52004F
1943,552705
1944,17E038
1945,232622
1946,672858
1947,182631
1948,672861
1949,032645
1950,222587
1951,442730
